run_uid,policy_id,cohort,step_uid,step_idx,used_data_stage_uid,table_code,status,sum_assured,entry_date,npdd,ltd_payment_term,entry_age_1,gender_1,entry_age_2,gender_2,joint_val_age,premium_frequency,modal_premium,unsmoothed_asset_share,smoothed_asset_share,surrender_benefit,death_benefit,exit_bonus_rate,unpaid_premiums,death_uplift_factor,guaranteed_death_benefit,title,type
40b70255-1c18-488f-821c-492a2835c810,P42893366,REMAINING,4698425d-e165-4881-a5dd-b90e342e1795,15,00000000-0000-0000-0000-000000000000,T70,AP,35.65,1981-03-20,2004-03-20,23,52,MALE,NA,NA,NA,YEARLY,3.1,0.71059483,0.72294223,0.7301716,273.079,0.01,0,1.0733579,273.079,Closing Death Uplift Factor,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P42893366,REMAINING,aff89bf5-604e-4989-8b11-c3ba24d1fca1,16,00000000-0000-0000-0000-000000000000,T70,AP,35.65,1981-03-20,2004-03-20,23,52,MALE,NA,NA,NA,YEARLY,3.1,0.71059483,0.72294223,0.7301716,273.079,0.01,0,1.0733579,273.079,Closing Exit Bonus Rate,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P42893366,REMAINING,7e38d53b-960c-44e1-8adc-13bf645196ec,17,00000000-0000-0000-0000-000000000000,T70,AP,35.65,1981-03-20,2004-03-20,23,52,MALE,NA,NA,NA,YEARLY,3.1,0.71059483,0.72294223,0.7301717,273.079,0.01,0,1.0733579,273.079,AoC Closing Consistency Check,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P42893366,REMAINING,b5c1db87-1bdd-4574-ad7a-86e4122c4799,18,00000000-0000-0000-0000-000000000000,T70,AP,35.65,1981-03-20,2004-03-20,23,52,MALE,NA,NA,NA,YEARLY,3.1,0.71059483,0.72294223,0.7301717,273.079,0.01,0,1.0733579,273.079,Status Changes To Paid-Up,DATA_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P42893366,REMAINING,ba0238f1-df2b-43c7-95b2-557d846a81f8,19,00000000-0000-0000-0000-000000000000,T70,AP,35.65,1981-03-20,2004-03-20,23,52,MALE,NA,NA,NA,YEARLY,3.1,0.71059483,0.72294223,0.7301717,273.079,0.01,0,1.0733579,273.079,Move To Closing Data,MOVE_TO_CLOSING_DATA
40b70255-1c18-488f-821c-492a2835c810,P42893366,REMAINING,cf93808c-bacc-4137-b849-6227df8c177f,20,00000000-0000-0000-0000-000000000000,T70,AP,35.65,1981-03-20,2004-03-20,23,52,MALE,NA,NA,NA,YEARLY,3.1,0.71059483,0.72294223,0.7301717,273.079,0.01,0,1.0733579,273.079,Add New Records,ADD_NEW_RECORDS
40b70255-1c18-488f-821c-492a2835c810,P42893366,REMAINING,3f8c9b7e-2a4d-4f3a-9e2e-7d1c8a9f6b2c,21,00000000-0000-0000-0000-000000000000,T70,AP,35.65,1981-03-20,2004-03-20,23,52,MALE,NA,NA,NA,YEARLY,3.1,0.7121615,0.7230418,0.7302722,273.079,0.01,0,1.0733579,273.079,Move To Closing Month-End,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P42893366,REMAINING,9a1d4c3f-6b7e-4d2a-8f9c-3e2b1a7d5c4e,22,00000000-0000-0000-0000-000000000000,T70,AP,35.65,1981-03-20,2004-03-20,23,52,MALE,NA,NA,NA,YEARLY,3.1,0.70862716,0.7261913,0.7334532,273.079,0.01,0,1.0733579,273.079,Switch To Valuation Asset Shares,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,f198c564-7f6b-46a7-af3c-bd9b4ef6bc1b,0,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,20.812708,21.182001,21.39382,5108.568,0.01,0,1.0748551,5108.568,Opening Re-Run,OPENING_RERUN
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,6920fbd3-e1d1-4459-aca9-aa7c63267a14,1,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,20.812708,21.182001,21.39382,5108.568,0.01,0,1.0748551,5108.568,Remove Exited Records,REMOVE_EXITED_RECORDS
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,6d3385fc-8e01-4e95-9dc2-65471813ea5e,2,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,20.812708,21.182001,21.39382,5108.568,0.01,0,1.0748551,5108.568,Restated Opening Data,DATA_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,1254ec7b-e4ee-4a3b-b295-def984bc7e80,3,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,20.812708,21.182001,21.393822,5108.568,0.01,0,1.0748551,5108.568,AoC Opening Consistency Check,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,7f0492ca-6211-4032-bf89-a15879d07856,4,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,20.812708,21.182001,21.393822,5108.568,0.01,0,1.0748551,5108.568,Restated Opening Adjustments,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,d3d411ec-f5d7-419a-a9ff-67e3d95a9e15,5,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,20.827393,21.182934,21.394762,5108.568,0.01,0,1.0748551,5108.568,Restated Opening Returns,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,61530067-7402-435c-8c3e-933d80d19220,6,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,19.269339,19.598282,19.794264,5108.568,0.01,0,1.0748551,5108.568,Restated Opening Deductions,SOURCE_CHANGE
